X Y Z F real imag
0.0046875 0.0046875 0 0.0048927 -0.00442529 0.00208693
0.0046875 0.0140625 0 0.00427601 -0.00210875 0.00371987
0.0046875 0.0234375 0 0.00461321 -0.00115323 0.00446674
0.0046875 0.0328125 0 0.00480558 -0.000561114 0.00477271
0.0046875 0.0421875 0 0.00480542 -0.000561097 0.00477255
0.0046875 0.0515625 0 0.00461277 -0.00115315 0.0044663
0.0046875 0.0609375 0 0.00427539 -0.00210853 0.00371928
0.0046875 0.0703125 0 0.00489164 -0.00442452 0.00208608
0.0140625 0.0046875 0 0.00282403 -0.00274942 -0.000644879
0.0140625 0.0140625 0 0.00186128 -0.00168745 0.000785416
0.0140625 0.0234375 0 0.00199263 -0.00156345 0.00123539
0.0140625 0.0328125 0 0.00206256 -0.00145127 0.00146559
0.0140625 0.0421875 0 0.00206242 -0.00145169 0.00146499
0.0140625 0.0515625 0 0.00199239 -0.00156417 0.00123409
0.0140625 0.0609375 0 0.00186115 -0.00168801 0.000783889
0.0140625 0.0703125 0 0.00282425 -0.00274924 -0.000646568
0.0234375 0.0046875 0 0.00250772 -0.00188566 -0.00165316
0.0234375 0.0140625 0 0.00158671 -0.0015838 -9.60313e-05
0.0234375 0.0234375 0 0.0016661 -0.00164379 0.000271754
0.0234375 0.0328125 0 0.00171089 -0.00164382 0.000474363
0.0234375 0.0421875 0 0.00170922 -0.0016412 0.000477376
0.0234375 0.0515625 0 0.00166412 -0.00164119 0.000275323
0.0234375 0.0609375 0 0.00158524 -0.00158248 -9.35469e-05
0.0234375 0.0703125 0 0.00250879 -0.00188553 -0.00165494
0.0328125 0.0046875 0 0.00233428 -0.000780526 -0.00219992
0.0328125 0.0140625 0 0.00141276 -0.00115685 -0.000810925
0.0328125 0.0234375 0 0.00146168 -0.00134601 -0.000569861
0.0328125 0.0328125 0 0.00151134 -0.00144464 -0.000444044
0.0328125 0.0421875 0 0.00159081 -0.00150552 -0.000513895
0.0328125 0.0515625 0 0.00155091 -0.00140822 -0.000649801
0.0328125 0.0609375 0 0.00149686 -0.00119987 -0.000894939
0.0328125 0.0703125 0 0.00235954 -0.000790586 -0.00222315
0.0421875 0.0046875 0 0.00219468 0.00033994 -0.00216819
0.0421875 0.0140625 0 0.00129667 -0.000541087 -0.00117838
0.0421875 0.0234375 0 0.00132483 -0.000780119 -0.00107079
0.0421875 0.0328125 0 0.0014616 -0.000974549 -0.00108929
0.0421875 0.0421875 0 9.75892e-05 -6.4725e-05 -7.30364e-05
0.0421875 0.0515625 0 7.59247e-05 -4.59546e-05 -6.04379e-05
0.0421875 0.0609375 0 0.000151486 -6.3318e-05 -0.000137618
0.0421875 0.0703125 0 0.00230648 0.000294792 -0.00228756
0.0515625 0.0046875 0 0.00202127 0.00124741 -0.00159044
0.0515625 0.0140625 0 0.00116668 0.000110658 -0.00116142
0.0515625 0.0234375 0 0.00118404 -0.000117477 -0.00117819
0.0515625 0.0328125 0 0.00129226 -0.00026946 -0.00126386
0.0515625 0.0421875 0 6.98918e-05 -1.66235e-05 -6.78861e-05
0.0515625 0.0515625 0 4.89041e-05 -8.44205e-06 -4.817e-05
0.0515625 0.0609375 0 0.00010714 6.63774e-06 -0.000106934
0.0515625 0.0703125 0 0.0021134 0.00125103 -0.00170334
0.0609375 0.0046875 0 0.00182749 0.00171798 -0.000623103
0.0609375 0.0140625 0 0.00101467 0.00061223 -0.000809158
0.0609375 0.0234375 0 0.00101613 0.00044446 -0.000913768
0.0609375 0.0328125 0 0.00109987 0.000364567 -0.00103769
0.0609375 0.0421875 0 0.000120098 3.97679e-05 -0.000113322
0.0609375 0.0515625 0 9.12607e-05 3.93706e-05 -8.23314e-05
0.0609375 0.0609375 0 0.000184028 0.000110984 -0.000146796
0.0609375 0.0703125 0 0.00189633 0.00176303 -0.000698436
0.0703125 0.0046875 0 0.00221721 0.0018952 0.00115076
0.0703125 0.0140625 0 0.00117762 0.00112647 0.000343288
0.0703125 0.0234375 0 0.00106488 0.00106143 8.56563e-05
0.0703125 0.0328125 0 0.00102817 0.00102621 -6.33553e-05
0.0703125 0.0421875 0 0.00106533 0.00105586 -0.000141773
0.0703125 0.0515625 0 0.0011051 0.00110509 -3.15456e-06
0.0703125 0.0609375 0 0.00120794 0.00117671 0.000272863
0.0703125 0.0703125 0 0.0022197 0.00190654 0.00113674
