X Y Z F real imag
0.1 0.1 0 0.336078 0.19825 -0.271377
0.1 0.3 0 0.424012 0.32604 -0.27108
0.1 0.5 0 0.488944 0.476537 -0.109446
0.1 0.7 0 0.537862 0.515412 0.153772
0.1 0.9 0 0.564484 0.382965 0.414705
0.1 1.1 0 0.572245 0.0995997 0.563511
0.1 1.3 0 0.58422 -0.241862 0.531804
0.1 1.5 0 0.609522 -0.515259 0.325616
0.1 1.7 0 0.61207 -0.61166 0.0223977
0.1 1.9 0 0.537379 -0.468938 -0.262437
0.3 0.1 0 0.325179 0.207554 -0.250325
0.3 0.3 0 0.410953 0.328954 -0.246316
0.3 0.5 0 0.476684 0.46889 -0.0858488
0.3 0.7 0 0.52664 0.498042 0.171183
0.3 0.9 0 0.553857 0.359389 0.421423
0.3 1.1 0 0.562284 0.0755731 0.557182
0.3 1.3 0 0.575635 -0.259786 0.513679
0.3 1.5 0 0.602145 -0.521704 0.300673
0.3 1.7 0 0.604469 -0.604466 -0.00177515
0.3 1.9 0 0.530458 -0.45199 -0.277651
0.5 0.1 0 0.315095 0.215409 -0.229965
0.5 0.3 0 0.398674 0.330866 -0.222417
0.5 0.5 0 0.465008 0.460681 -0.0632887
0.5 0.7 0 0.515856 0.480588 0.187465
0.5 0.9 0 0.543597 0.336258 0.427117
0.5 1.1 0 0.552681 0.0524645 0.550185
0.5 1.3 0 0.567381 -0.276526 0.495433
0.5 1.5 0 0.595025 -0.527038 0.2762
0.5 1.7 0 0.597163 -0.596637 -0.0250498
0.5 1.9 0 0.524017 -0.435175 -0.291919
0.7 0.1 0 0.305726 0.221946 -0.210258
0.7 0.3 0 0.387108 0.331833 -0.199347
0.7 0.5 0 0.453869 0.451948 -0.0417185
0.7 0.7 0 0.505475 0.463062 0.202677
0.7 0.9 0 0.533674 0.313557 0.431845
0.7 1.1 0 0.543406 0.0302302 0.542565
0.7 1.3 0 0.559424 -0.292145 0.477081
0.7 1.5 0 0.588135 -0.531327 0.252179
0.7 1.7 0 0.590127 -0.588215 -0.0474738
0.7 1.9 0 0.517994 -0.418462 -0.305299
0.9 0.1 0 0.296987 0.227275 -0.191175
0.9 0.3 0 0.376193 0.331912 -0.177075
0.9 0.5 0 0.443228 0.442725 -0.0210986
0.9 0.7 0 0.495465 0.445483 0.216867
0.9 0.9 0 0.524062 0.291277 0.435658
0.9 1.1 0 0.534431 0.00883492 0.534358
0.9 1.3 0 0.551736 -0.306697 0.458639
0.9 1.5 0 0.581449 -0.534629 0.228594
0.9 1.7 0 0.583339 -0.579234 -0.0690859
0.9 1.9 0 0.512334 -0.401825 -0.317841
1.1 0.1 0 0.382837 0.207367 -0.321812
1.1 0.3 0 0.483489 0.3552 -0.328017
1.1 0.5 0 0.556296 0.534162 -0.155359
1.1 0.7 0 0.608103 0.592825 0.135456
1.1 0.9 0 0.632791 0.460779 0.433713
1.1 1.1 0 0.636873 0.15453 0.617841
1.1 1.3 0 0.649829 -0.228343 0.608389
1.1 1.5 0 0.680938 -0.55004 0.401414
1.1 1.7 0 0.689073 -0.685341 0.0716197
1.1 1.9 0 0.61082 -0.553639 -0.258041
1.3 0.1 0 0.370124 0.219439 -0.298057
1.3 0.3 0 0.468527 0.359942 -0.299932
1.3 0.5 0 0.542365 0.527018 -0.128111
1.3 0.7 0 0.595369 0.574487 0.156297
1.3 0.9 0 0.620707 0.434846 0.442929
1.3 1.1 0 0.625538 0.127205 0.612467
1.3 1.3 0 0.639938 -0.249706 0.589209
1.3 1.5 0 0.672347 -0.558995 0.373597
1.3 1.7 0 0.680166 -0.678764 0.0436603
1.3 1.9 0 0.602361 -0.535123 -0.276555
1.5 0.1 0 0.358415 0.229773 -0.275075
1.5 0.3 0 0.454487 0.363504 -0.272807
1.5 0.5 0 0.529119 0.519189 -0.102024
1.5 0.7 0 0.583157 0.556008 0.175863
1.5 0.9 0 0.609072 0.409382 0.450972
1.5 1.1 0 0.614641 0.100907 0.606301
1.5 1.3 0 0.630462 -0.269708 0.569859
1.5 1.5 0 0.664089 -0.566651 0.346297
1.5 1.7 0 0.67163 -0.671422 0.0167268
1.5 1.9 0 0.594524 -0.516762 -0.293965
1.7 0.1 0 0.34758 0.23853 -0.252815
1.7 0.3 0 0.441283 0.365956 -0.246591
1.7 0.5 0 0.516498 0.510721 -0.077038
1.7 0.7 0 0.57142 0.5374 0.194223
1.7 0.9 0 0.597845 0.384364 0.457911
1.7 1.1 0 0.604141 0.0755791 0.599395
1.7 1.3 0 0.621355 -0.288431 0.550354
1.7 1.5 0 0.656127 -0.573089 0.319487
1.7 1.7 0 0.66343 -0.663366 -0.00924326
1.7 1.9 0 0.587223 -0.498513 -0.310348
1.9 0.1 0 0.33751 0.245849 -0.231239
1.9 0.3 0 0.428842 0.367362 -0.221248
1.9 0.5 0 0.504454 0.501651 -0.0531033
1.9 0.7 0 0.56012 0.51868 0.211437
1.9 0.9 0 0.58699 0.359778 0.463807
1.9 1.1 0 0.594002 0.0511746 0.591793
1.9 1.3 0 0.612582 -0.305944 0.530711
1.9 1.5 0 0.648427 -0.578379 0.293147
1.9 1.7 0 0.655536 -0.654638 -0.0342999
1.9 1.9 0 0.580389 -0.480342 -0.325766
