X Y Z F real imag
0.0046875 0.0046875 0 906.503 -906.483 -6.00569
0.0046875 0.0140625 0 881.77 -881.731 -8.34085
0.0046875 0.0234375 0 1317.31 -1314.3 -88.9513
0.0046875 0.0328125 0 655.76 215.39 619.378
0.0046875 0.0421875 0 1742.38 -1660.35 -528.322
0.0046875 0.0515625 0 110.713 -103.518 39.263
0.0046875 0.0609375 0 997.308 -982.722 169.943
0.0046875 0.0703125 0 912.456 -912.452 2.5333
0.0140625 0.0046875 0 957.048 -956.657 27.3447
0.0140625 0.0140625 0 1638.86 -1638.8 -13.6141
0.0140625 0.0234375 0 2845.36 2776.56 621.913
0.0140625 0.0328125 0 3338.78 3338.02 71.4225
0.0140625 0.0421875 0 3205.22 3205.13 -24.4318
0.0140625 0.0515625 0 3523 3208.72 -1454.52
0.0140625 0.0609375 0 1604.04 1604.03 -6.95564
0.0140625 0.0703125 0 728.657 -721.732 -100.219
0.0234375 0.0046875 0 821.863 -820.382 -49.3199
0.0234375 0.0140625 0 1260.25 1210.66 -350.044
0.0234375 0.0234375 0 3409.08 3370.78 -509.579
0.0234375 0.0328125 0 3709.19 3709.18 6.15568
0.0234375 0.0421875 0 3687.18 3686.54 68.4426
0.0234375 0.0515625 0 3935.6 3927.71 249.158
0.0234375 0.0609375 0 7887.47 7829.79 952.196
0.0234375 0.0703125 0 1202.41 -1201.14 55.3021
0.0328125 0.0046875 0 1043.39 -1013.16 -249.308
0.0328125 0.0140625 0 16990.5 -11244.7 12737.2
0.0328125 0.0234375 0 3793.62 3790.61 151.096
0.0328125 0.0328125 0 3643.23 3643.23 -3.02712
0.0328125 0.0421875 0 3668.57 3668.46 -28.4245
0.0328125 0.0515625 0 3562.43 3562.43 2.50243
0.0328125 0.0609375 0 2948.86 2856.95 -730.497
0.0328125 0.0703125 0 1355.2 -1298.49 -387.921
0.0421875 0.0046875 0 973.871 -922.018 313.541
0.0421875 0.0140625 0 2336.75 1361.96 -1898.81
0.0421875 0.0234375 0 3654.98 3653.7 -96.7157
0.0421875 0.0328125 0 3668.38 3668.35 14.4875
0.0421875 0.0421875 0 3643.76 3643.76 -1.10672
0.0421875 0.0515625 0 3703.56 3703.38 36.1343
0.0421875 0.0609375 0 3553.46 3553.46 0.105962
0.0421875 0.0703125 0 2196.24 -2078.15 710.48
0.0515625 0.0046875 0 1229.7 -1219.85 155.328
0.0515625 0.0140625 0 3116.82 216.055 3109.32
0.0515625 0.0234375 0 3590.25 3587.87 130.824
0.0515625 0.0328125 0 3666.28 3666.25 -15.4381
0.0515625 0.0421875 0 3725.52 3725.12 54.7255
0.0515625 0.0515625 0 3671.33 3671.32 -7.4409
0.0515625 0.0609375 0 3498.43 3498.42 -6.60103
0.0515625 0.0703125 0 3646.53 -2482.89 2670.67
0.0609375 0.0046875 0 1165.1 -1155.84 146.573
0.0609375 0.0140625 0 14787.7 10453.1 -10459.9
0.0609375 0.0234375 0 3043.99 3035.35 229.224
0.0609375 0.0328125 0 3629.16 3628.48 70.3717
0.0609375 0.0421875 0 3562.42 3562.22 -38.225
0.0609375 0.0515625 0 3526.96 3526.94 10.0966
0.0609375 0.0609375 0 3521.1 3521.1 -3.44952
0.0609375 0.0703125 0 3173.32 -2516.58 1933.08
0.0703125 0.0046875 0 896.275 -895.289 42.013
0.0703125 0.0140625 0 1638.17 -1245.7 1063.87
0.0703125 0.0234375 0 1925.16 -1683.26 -934.272
0.0703125 0.0328125 0 1234.47 1113.52 -532.904
0.0703125 0.0421875 0 9726.45 1927.11 9533.63
0.0703125 0.0515625 0 436.408 -430.929 -68.9361
0.0703125 0.0609375 0 4217.65 1157.04 4055.83
0.0703125 0.0703125 0 894.223 -857.531 253.525
